------------------------------
  Elements     Atomic Weight  
------------------------------
  1.	C         12.01099968
  2.	H          1.00800002
  3.	O         15.99899960
  4.	N         14.00699997
  5.	HE         4.00299978
  6.	AR        39.94800186
------------------------------


------------------------------------------------------------------------------------------------------------------------------
                                                Molecular        Temperature        Elements
  Species                  Phase  Charge         weight         Low      High       C       H       O       N      HE      AR
  102. C4H71-O               G      0           71.098998    300.00   3500.00       4       7       1       0       0       0
  103. C4H6                  G      0           54.091999    200.00   3500.00       4       6       0       0       0       0
  104. C4H5                  G      0           53.083999    300.00   3500.00       4       5       0       0       0       0
  105. C4H4                  G      0           52.075999    300.00   3500.00       4       4       0       0       0       0
  106. C4H3                  G      0           51.067999    300.00   3500.00       4       3       0       0       0       0
  107. C4H2                  G      0           50.059999    300.00   3500.00       4       2       0       0       0       0
  108. C6H6                  G      0           78.113998    300.00   3500.00       6       6       0       0       0       0
  109. FULVENE               G      0           78.113998    200.00   3500.00       6       6       0       0       0       0
  110. C6H5                  G      0           77.105998    300.00   3500.00       6       5       0       0       0       0
  111. C5H6                  G      0           66.102998    200.00   3500.00       5       6       0       0       0       0
  112. C5H5                  G      0           65.094998    300.00   3500.00       5       5       0       0       0       0
  113. MCPTD                 G      0           80.129998    300.00   3500.00       6       8       0       0       0       0
  114. C10H8                 G      0          128.173997    300.00   3500.00      10       8       0       0       0       0
  115. NC3H7O2               G      0           75.086998    300.00   3500.00       3       7       2       0       0       0
  116. IC3H7O2               G      0           75.086998    300.00   3500.00       3       7       2       0       0       0
  117. C3H7OOH               G      0           76.094998    300.00   3500.00       3       8       2       0       0       0
  118. C3-OQOOH              G      0           90.077998    300.00   3500.00       3       6       3       0       0       0
  119. CHOCH2CHO             G      0           72.062998    300.00   3500.00       3       4       2       0       0       0
  120. CH2OHCH2CHO           G      0           74.078998    300.00   3500.00       3       6       2       0       0       0
  121. CH3CO2H               G      0           60.051999    300.00   3500.00       2       4       2       0       0       0
  122. HCO3                  G      0           61.015998    300.00   3500.00       1       1       3       0       0       0
  123. HCO3H                 G      0           62.023998    300.00   3500.00       1       2       3       0       0       0
  124. CH2OHCOCH3            G      0           74.078998    300.00   3500.00       3       6       2       0       0       0
  125. NC3-QOOH              G      0           75.086998    300.00   3500.00       3       7       2       0       0       0
  126. IC3-QOOH              G      0           75.086998    300.00   3500.00       3       7       2       0       0       0
  127. NC3-OOQOOH            G      0          107.084998    300.00   3500.00       3       7       4       0       0       0
  128. IC3-OOQOOH            G      0          107.084998    300.00   3500.00       3       7       4       0       0       0
  129. CH2COOH               G      0           59.043999    300.00   3500.00       2       3       2       0       0       0
  130. IC4-OQOOH             G      0          104.104998    300.00   3500.00       4       8       3       0       0       0
  131. NC4-OQOOH             G      0          104.104998    300.00   3500.00       4       8       3       0       0       0
  132. C4H9OOH               G      0           90.121998    300.00   3500.00       4      10       2       0       0       0
  133. C5EN-OQOOH-35         G      0          116.115997    300.00   3500.00       5       8       3       0       0       0
  134. NC5H10-O              G      0           86.133998    300.00   3500.00       5      10       1       0       0       0
  135. NC5-OQOOH             G      0          118.131997    300.00   3500.00       5      10       3       0       0       0
  136. NC5H11OOH             G      0          104.148998    300.00   3500.00       5      12       2       0       0       0
  137. NC4-QOOH              G      0           89.113998    300.00   3500.00       4       9       2       0       0       0
  138. NC4H9-OO              G      0           89.113998    300.00   3500.00       4       9       2       0       0       0
  139. IC4H9T-OO             G      0           89.113998    300.00   3500.00       4       9       2       0       0       0
  140. IC4T-QOOH             G      0           89.113998    300.00   3500.00       4       9       2       0       0       0
  141. IC4P-QOOH             G      0           89.113998    300.00   3500.00       4       9       2       0       0       0
  142. IC4H9P-OO             G      0           89.113998    300.00   3500.00       4       9       2       0       0       0
  143. NC4-OOQOOH            G      0          121.111997    300.00   3500.00       4       9       4       0       0       0
  144. IC4T-OOQOOH           G      0          121.111997    300.00   3500.00       4       9       4       0       0       0
  145. IC4P-OOQOOH           G      0          121.111997    300.00   3500.00       4       9       4       0       0       0
  146. C5EN-QOOH             G      0          101.124998    300.00   3500.00       5       9       2       0       0       0
  147. C5EN-OO               G      0          101.124998    300.00   3500.00       5       9       2       0       0       0
