------------------------------
  Elements     Atomic Weight  
------------------------------
  1.	C         12.01099968
  2.	H          1.00800002
  3.	O         15.99899960
  4.	N         14.00699997
  5.	HE         4.00299978
  6.	AR        39.94800186
------------------------------


------------------------------------------------------------------------------------------------------------------------------
                                                Molecular        Temperature        Elements
  Species                  Phase  Charge         weight         Low      High       C       H       O       N      HE      AR


   5781. MEK + INDENYL  => CH3 + C2H3CHO + INDENE 
         k:       2.860000e+04	    2.00      16000.00


   5782. MEK + C10H6CH3  => CH3 + C2H3CHO + C10H7CH3 
         k:       8.140000e+07	    1.00       2000.00


   5783. MEK + C6H4O  => CH3 + C2H3CHO + C6H5O 
         k:       5.940000e+04	    2.00      12500.00


   5784. MEK + RCATEC  => CH3 + C2H3CHO + CATECHOL 
         k:       4.400000e+04	    2.00      11000.00


   5785. MEK + RC7H5O3  => CH3 + C2H3CHO + C7H6O3 
         k:       4.400000e+04	    2.00      12500.00


   5786. MEK + RSALICPH  => CH3 + C2H3CHO + SALICALD 
         k:       8.800000e+07	    1.00       2000.00


   5787. MEK + RGUAIPH  => CH3 + C2H3CHO + GUAIACOL 
         k:       8.800000e+07	    1.00       2000.00


   5788. MEK + RCATEPH  => CH3 + C2H3CHO + CATECHOL 
         k:       8.800000e+07	    1.00       2000.00


   5789. H + MEK  => H2 + 0.55C2H5 + 0.45C2H4 + 0.45CH3CO + 0.55CH2CO 
         k:       2.100000e+07	    2.00       6349.34


   5790. CH3 + MEK  => CH4 + 0.55C2H5 + 0.45C2H4 + 0.45CH3CO + 0.55CH2CO 
         k:       2.100000e+05	    2.00       7443.70


   5791. C2H3 + MEK  => 0.55C2H5 + 1.45C2H4 + 0.45CH3CO + 0.55CH2CO 
         k:       4.746000e+05	    2.00       6239.48


   5792. C2H5 + MEK  => C2H6 + 0.55C2H5 + 0.45C2H4 + 0.45CH3CO + 0.55CH2CO 
         k:       1.400000e+05	    2.00       9289.16


   5793. NC3H7 + MEK  => 0.55C2H5 + 0.45C2H4 + 0.45CH3CO + 0.55CH2CO + C3H8 
         k:       9.450000e+04	    2.00       9289.16


   5794. IC3H7 + MEK  => 0.55C2H5 + 0.45C2H4 + 0.45CH3CO + 0.55CH2CO + C3H8 
         k:       9.450000e+04	    2.00      12725.62


   5795. C3H5-S + MEK  => 0.55C2H5 + 0.45C2H4 + 0.45CH3CO + 0.55CH2CO + C3H6 
         k:       1.890000e+05	    2.00       6897.45


   5796. C3H5-T + MEK  => 0.55C2H5 + 0.45C2H4 + 0.45CH3CO + 0.55CH2CO + C3H6 
         k:       1.890000e+05	    2.00       6897.45


   5797. C3H5-A + MEK  => 0.55C2H5 + 0.45C2H4 + 0.45CH3CO + 0.55CH2CO + C3H6 
         k:       3.773000e+05	    2.00      15810.16


   5798. C4H5 + MEK  => 0.55C2H5 + 0.45C2H4 + 0.45CH3CO + 0.55CH2CO + C4H6 
         k:       1.890000e+05	    2.00       6897.45


   5799. C4H71-4 + MEK  => 0.55C2H5 + 0.45C2H4 + 0.45CH3CO + 0.55CH2CO + C4H8-1 
         k:       9.450000e+04	    2.00       9181.05


   5800. C4H71-3 + MEK  => 0.55C2H5 + 0.45C2H4 + 0.45CH3CO + 0.55CH2CO + C4H8-2 
         k:       2.380000e+05	    2.00      16763.05


   5801. IC4H7 + MEK  => 0.55C2H5 + 0.45C2H4 + 0.45CH3CO + 0.55CH2CO + IC4H8 
         k:       1.890000e+05	    2.00      16763.05


   5802. C4H3 + MEK  => 0.55C2H5 + 0.45C2H4 + 0.45CH3CO + 0.55CH2CO + C4H4 
         k:       2.863000e+05	    2.00       7661.72


   5803. C6H5 + MEK  => 0.55C2H5 + 0.45C2H4 + 0.45CH3CO + 0.55CH2CO + C6H6 
         k:       2.590000e+08	    1.00       3864.72


   5804. C5H5 + MEK  => 0.55C2H5 + 0.45C2H4 + 0.45CH3CO + 0.55CH2CO + C5H6 
         k:       2.380000e+05	    2.00      17080.28


   5805. O + MEK  => OH + 0.55C2H5 + 0.45C2H4 + 0.45CH3CO + 0.55CH2CO 
         k:       1.645000e+07	    2.00       4691.70


   5806. O2 + MEK  => HO2 + 0.55C2H5 + 0.45C2H4 + 0.45CH3CO + 0.55CH2CO 
         k:       1.190000e+07	    2.00      48272.65


   5807. OH + MEK  => H2O + 0.55C2H5 + 0.45C2H4 + 0.45CH3CO + 0.55CH2CO 
         k:       1.050000e+10	    1.00       1540.75


   5808. HO2 + MEK  => H2O2 + 0.55C2H5 + 0.45C2H4 + 0.45CH3CO + 0.55CH2CO 
         k:       5.600000e+06	    2.00      19190.53


   5809. CH3O + MEK  => CH3OH + 0.55C2H5 + 0.45C2H4 + 0.45CH3CO + 0.55CH2CO 
         k:       2.996000e+05	    2.00       3572.50


   5810. CH2OH + MEK  => CH3OH + 0.55C2H5 + 0.45C2H4 + 0.45CH3CO + 0.55CH2CO 
         k:       1.981000e+05	    2.00      13045.84


   5811. HCO + MEK  => CH2O + 0.55C2H5 + 0.45C2H4 + 0.45CH3CO + 0.55CH2CO 
         k:       8.820000e+05	    2.00      15279.95


   5812. CH3CO + MEK  => 0.55C2H5 + 0.45C2H4 + CH3CHO + 0.45CH3CO + 0.55CH2CO 
         k:       9.450000e+05	    2.00      17080.28


   5813. CH2CHO + MEK  => 0.55C2H5 + 0.45C2H4 + CH3CHO + 0.45CH3CO + 0.55CH2CO 
         k:       1.610000e+05	    2.00      14430.30


   5814. C3H3 + MEK  => 0.55C2H5 + 0.45C2H4 + 0.45CH3CO + 0.55CH2CO + C3H4-A 
         k:       1.890000e+05	    2.00      17080.28


   5815. HCCO + MEK  => 0.55C2H5 + 0.45C2H4 + 0.45CH3CO + 1.55CH2CO 
         k:       2.996000e+05	    2.00       7661.72


   5816. CH3O2 + MEK  => CH3O2H + 0.55C2H5 + 0.45C2H4 + 0.45CH3CO + 0.55CH2CO 
         k:       5.320000e+05	    2.00      15598.15


   5817. C2H5O2 + MEK  => 0.55C2H5 + C2H5O2H + 0.45C2H4 + 0.45CH3CO + 0.55CH2CO 
         k:       5.320000e+05	    2.00      15598.15


   5818. NC3H7O2 + MEK  => 0.55C2H5 + 0.45C2H4 + 0.45CH3CO + 0.55CH2CO + C3H7OOH 
         k:       5.320000e+05	    2.00      15598.15


   5819. IC3H7O2 + MEK  => 0.55C2H5 + 0.45C2H4 + 0.45CH3CO + 0.55CH2CO + C3H7OOH 
         k:       5.320000e+05	    2.00      15598.15


   5820. HCO3 + MEK  => 0.55C2H5 + 0.45C2H4 + 0.45CH3CO + 0.55CH2CO + HCO3H 
         k:       2.380000e+05	    2.00       9072.89


   5821. CH3CO3 + MEK  => 0.55C2H5 + 0.45C2H4 + 0.45CH3CO + 0.55CH2CO + CH3CO3H 
         k:       2.380000e+05	    2.00       9072.89


   5822. CH3COCH2 + MEK  => 0.55C2H5 + 0.45C2H4 + 0.45CH3CO + 0.55CH2CO + CH3COCH3 
         k:       1.610000e+05	    2.00      10690.26


   5823. MEK + C6H5O  => 0.55C2H5 + 0.45C2H4 + 0.45CH3CO + 0.55CH2CO + C6H5OH 
         k:       3.780000e+05	    2.00      15492.11


   5824. MEK + C6H4OH  => 0.55C2H5 + 0.45C2H4 + 0.45CH3CO + 0.55CH2CO + C6H5OH 
         k:       2.590000e+08	    1.00       3864.72


   5825. MEK + C5H7  => 0.55C2H5 + 0.45C2H4 + 0.45CH3CO + 0.55CH2CO + LC5H8 
         k:       1.890000e+05	    2.00      18136.38


   5826. MEK + C7H7  => 0.55C2H5 + 0.45C2H4 + 0.45CH3CO + 0.55CH2CO + C7H8 
         k:       9.450000e+04	    2.00      19190.53


   5827. MEK + CH3C6H4  => 0.55C2H5 + 0.45C2H4 + 0.45CH3CO + 0.55CH2CO + C7H8 
         k:       2.590000e+08	    1.00       3864.72


   5828. MEK + RCRESOLO  => 0.55C2H5 + 0.45C2H4 + 0.45CH3CO + 0.55CH2CO + CRESOL 
         k:       1.890000e+05	    2.00      15810.16


   5829. MEK + C10H7  => 0.55C2H5 + 0.45C2H4 + 0.45CH3CO + 0.55CH2CO + C10H8 
         k:       2.590000e+08	    1.00       3864.72


   5830. MEK + C6H5C2H4  => 0.55C2H5 + 0.45C2H4 + 0.45CH3CO + 0.55CH2CO + C6H5C2H5 
         k:       1.750000e+05	    2.00      15492.11


   5831. MEK + C6H5CHCH3  => 0.55C2H5 + 0.45C2H4 + 0.45CH3CO + 0.55CH2CO + C6H5C2H5 
         k:       1.260000e+05	    2.00      19190.53


   5832. MEK + INDENYL  => 0.55C2H5 + 0.45C2H4 + 0.45CH3CO + 0.55CH2CO + INDENE 
         k:       9.100000e+04	    2.00      19190.53


   5833. MEK + C10H6CH3  => 0.55C2H5 + 0.45C2H4 + 0.45CH3CO + 0.55CH2CO + C10H7CH3 
         k:       2.590000e+08	    1.00       3864.72


   5834. MEK + C6H4O  => 0.55C2H5 + 0.45C2H4 + 0.45CH3CO + 0.55CH2CO + C6H5O 
         k:       1.890000e+05	    2.00      15492.11


   5835. MEK + RCATEC  => 0.55C2H5 + 0.45C2H4 + 0.45CH3CO + 0.55CH2CO + CATECHOL 
         k:       1.400000e+05	    2.00      13898.40


   5836. MEK + RC7H5O3  => 0.55C2H5 + 0.45C2H4 + 0.45CH3CO + 0.55CH2CO + C7H6O3 
         k:       1.400000e+05	    2.00      15492.11


   5837. MEK + RSALICPH  => 0.55C2H5 + 0.45C2H4 + 0.45CH3CO + 0.55CH2CO + SALICALD 
         k:       2.800000e+08	    1.00       3864.72


   5838. MEK + RGUAIPH  => 0.55C2H5 + 0.45C2H4 + 0.45CH3CO + 0.55CH2CO + GUAIACOL 
         k:       2.800000e+08	    1.00       3864.72


   5839. MEK + RCATEPH  => 0.55C2H5 + 0.45C2H4 + 0.45CH3CO + 0.55CH2CO + CATECHOL 
         k:       2.800000e+08	    1.00       3864.72


   5840. TC4H9OH  = CH3 + CH3COHCH3 
         k:       6.000000e+16	    0.00      81500.00


   5841. TC4H9OH  = OH + TC4H9 
         k:       1.500000e+16	    0.00      93200.00


   5842. H + RTC4H8OH  = TC4H9OH 
         k:       5.000000e+13	    0.00          0.00


   5843. TC4H9OH  = H2O + IC4H8 
         k:       6.750000e+14	    0.00      65100.00


   5844. RTC4H8OH  = CH3 + CH3COCH3 
         k:       3.000000e+13	    0.00      33500.00


   5845. RTC4H8OH  = OH + IC4H8 
         k:       3.000000e+13	    0.00      36000.00


   5846. H + TC4H9OH  => H2 + CH3 + CH3COCH3 
         k:       3.000000e+06	    2.00       6349.34


   5847. CH3 + TC4H9OH  => CH4 + CH3 + CH3COCH3 
         k:       3.000000e+04	    2.00       7443.70


   5848. C2H3 + TC4H9OH  => CH3 + C2H4 + CH3COCH3 
         k:       6.780000e+04	    2.00       6239.48


   5849. C2H5 + TC4H9OH  => CH3 + C2H6 + CH3COCH3 
         k:       2.000000e+04	    2.00       9289.16


   5850. NC3H7 + TC4H9OH  => CH3 + C3H8 + CH3COCH3 
         k:       1.350000e+04	    2.00       9289.16


   5851. IC3H7 + TC4H9OH  => CH3 + C3H8 + CH3COCH3 
         k:       1.350000e+04	    2.00      12725.62


   5852. C3H5-S + TC4H9OH  => CH3 + C3H6 + CH3COCH3 
         k:       2.700000e+04	    2.00       6897.45


   5853. C3H5-T + TC4H9OH  => CH3 + C3H6 + CH3COCH3 
         k:       2.700000e+04	    2.00       6897.45


   5854. C3H5-A + TC4H9OH  => CH3 + C3H6 + CH3COCH3 
         k:       5.390000e+04	    2.00      15810.16


   5855. C4H5 + TC4H9OH  => CH3 + CH3COCH3 + C4H6 
         k:       2.700000e+04	    2.00       6897.45


   5856. C4H71-4 + TC4H9OH  => CH3 + CH3COCH3 + C4H8-1 
         k:       1.350000e+04	    2.00       9181.05


   5857. C4H71-3 + TC4H9OH  => CH3 + CH3COCH3 + C4H8-2 
         k:       3.400000e+04	    2.00      16763.05


   5858. IC4H7 + TC4H9OH  => CH3 + CH3COCH3 + IC4H8 
         k:       2.700000e+04	    2.00      16763.05


   5859. C4H3 + TC4H9OH  => CH3 + CH3COCH3 + C4H4 
         k:       4.090000e+04	    2.00       7661.72


   5860. C6H5 + TC4H9OH  => CH3 + CH3COCH3 + C6H6 
         k:       3.700000e+07	    1.00       3864.72


   5861. C5H5 + TC4H9OH  => CH3 + CH3COCH3 + C5H6 
         k:       3.400000e+04	    2.00      17080.28


   5862. O + TC4H9OH  => OH + CH3 + CH3COCH3 
         k:       2.350000e+06	    2.00       4691.70


   5863. O2 + TC4H9OH  => HO2 + CH3 + CH3COCH3 
         k:       1.700000e+06	    2.00      48272.65


   5864. OH + TC4H9OH  => H2O + CH3 + CH3COCH3 
         k:       1.500000e+09	    1.00       1540.75


   5865. HO2 + TC4H9OH  => H2O2 + CH3 + CH3COCH3 
         k:       8.000000e+05	    2.00      19190.53


   5866. CH3O + TC4H9OH  => CH3 + CH3OH + CH3COCH3 
         k:       4.280000e+04	    2.00       3572.50


   5867. CH2OH + TC4H9OH  => CH3 + CH3OH + CH3COCH3 
         k:       2.830000e+04	    2.00      13045.84


   5868. HCO + TC4H9OH  => CH3 + CH2O + CH3COCH3 
         k:       1.260000e+05	    2.00      15279.95


   5869. CH3CO + TC4H9OH  => CH3 + CH3CHO + CH3COCH3 
         k:       1.350000e+05	    2.00      17080.28


   5870. CH2CHO + TC4H9OH  => CH3 + CH3CHO + CH3COCH3 
         k:       2.300000e+04	    2.00      14430.30


   5871. C3H3 + TC4H9OH  => CH3 + C3H4-A + CH3COCH3 
         k:       2.700000e+04	    2.00      17080.28


   5872. HCCO + TC4H9OH  => CH3 + CH2CO + CH3COCH3 
         k:       4.280000e+04	    2.00       7661.72


   5873. CH3O2 + TC4H9OH  => CH3 + CH3O2H + CH3COCH3 
         k:       7.600000e+04	    2.00      15598.15


   5874. C2H5O2 + TC4H9OH  => CH3 + C2H5O2H + CH3COCH3 
         k:       7.600000e+04	    2.00      15598.15


   5875. NC3H7O2 + TC4H9OH  => CH3 + CH3COCH3 + C3H7OOH 
         k:       7.600000e+04	    2.00      15598.15


   5876. IC3H7O2 + TC4H9OH  => CH3 + CH3COCH3 + C3H7OOH 
         k:       7.600000e+04	    2.00      15598.15


   5877. HCO3 + TC4H9OH  => CH3 + CH3COCH3 + HCO3H 
         k:       3.400000e+04	    2.00       9072.89


   5878. CH3CO3 + TC4H9OH  => CH3 + CH3CO3H + CH3COCH3 
         k:       3.400000e+04	    2.00       9072.89


   5879. CH3COCH2 + TC4H9OH  => CH3 + 2CH3COCH3 
         k:       2.300000e+04	    2.00      10690.26


   5880. TC4H9OH + C6H5O  => CH3 + CH3COCH3 + C6H5OH 
         k:       5.400000e+04	    2.00      15492.11


   5881. TC4H9OH + C6H4OH  => CH3 + CH3COCH3 + C6H5OH 
         k:       3.700000e+07	    1.00       3864.72


   5882. TC4H9OH + C5H7  => CH3 + CH3COCH3 + LC5H8 
         k:       2.700000e+04	    2.00      18136.38


   5883. TC4H9OH + C7H7  => CH3 + CH3COCH3 + C7H8 
         k:       1.350000e+04	    2.00      19190.53


   5884. TC4H9OH + CH3C6H4  => CH3 + CH3COCH3 + C7H8 
         k:       3.700000e+07	    1.00       3864.72


   5885. TC4H9OH + RCRESOLO  => CH3 + CH3COCH3 + CRESOL 
         k:       2.700000e+04	    2.00      15810.16


   5886. TC4H9OH + C10H7  => CH3 + CH3COCH3 + C10H8 
         k:       3.700000e+07	    1.00       3864.72


   5887. TC4H9OH + C6H5C2H4  => CH3 + CH3COCH3 + C6H5C2H5 
         k:       2.500000e+04	    2.00      15492.11


   5888. TC4H9OH + C6H5CHCH3  => CH3 + CH3COCH3 + C6H5C2H5 
         k:       1.800000e+04	    2.00      19190.53


   5889. TC4H9OH + INDENYL  => CH3 + CH3COCH3 + INDENE 
         k:       1.300000e+04	    2.00      19190.53


   5890. TC4H9OH + C10H6CH3  => CH3 + CH3COCH3 + C10H7CH3 
         k:       3.700000e+07	    1.00       3864.72


   5891. TC4H9OH + C6H4O  => CH3 + CH3COCH3 + C6H5O 
         k:       2.700000e+04	    2.00      15492.11


   5892. TC4H9OH + RCATEC  => CH3 + CH3COCH3 + CATECHOL 
         k:       2.000000e+04	    2.00      13898.40


   5893. TC4H9OH + RC7H5O3  => CH3 + CH3COCH3 + C7H6O3 
         k:       2.000000e+04	    2.00      15492.11


   5894. TC4H9OH + RSALICPH  => CH3 + CH3COCH3 + SALICALD 
         k:       4.000000e+07	    1.00       3864.72


   5895. TC4H9OH + RGUAIPH  => CH3 + CH3COCH3 + GUAIACOL 
         k:       4.000000e+07	    1.00       3864.72


   5896. TC4H9OH + RCATEPH  => CH3 + CH3COCH3 + CATECHOL 
         k:       4.000000e+07	    1.00       3864.72


   5897. H + TC4H9OH  => H2 + RTC4H8OH 
         k:       2.700000e+07	    2.00       6349.34


   5898. CH3 + TC4H9OH  => CH4 + RTC4H8OH 
         k:       2.700000e+05	    2.00       7443.70


   5899. C2H3 + TC4H9OH  => C2H4 + RTC4H8OH 
         k:       6.102000e+05	    2.00       6239.48


   5900. C2H5 + TC4H9OH  => C2H6 + RTC4H8OH 
         k:       1.800000e+05	    2.00       9289.16


   5901. NC3H7 + TC4H9OH  => C3H8 + RTC4H8OH 
         k:       1.215000e+05	    2.00       9289.16


   5902. IC3H7 + TC4H9OH  => C3H8 + RTC4H8OH 
         k:       1.215000e+05	    2.00      12725.62


   5903. C3H5-S + TC4H9OH  => C3H6 + RTC4H8OH 
         k:       2.430000e+05	    2.00       6897.45


   5904. C3H5-T + TC4H9OH  => C3H6 + RTC4H8OH 
         k:       2.430000e+05	    2.00       6897.45


   5905. C3H5-A + TC4H9OH  => C3H6 + RTC4H8OH 
         k:       4.851000e+05	    2.00      15810.16


   5906. C4H5 + TC4H9OH  => C4H6 + RTC4H8OH 
         k:       2.430000e+05	    2.00       6897.45


   5907. C4H71-4 + TC4H9OH  => C4H8-1 + RTC4H8OH 
         k:       1.215000e+05	    2.00       9181.05


   5908. C4H71-3 + TC4H9OH  => C4H8-2 + RTC4H8OH 
         k:       3.060000e+05	    2.00      16763.05


   5909. IC4H7 + TC4H9OH  => IC4H8 + RTC4H8OH 
         k:       2.430000e+05	    2.00      16763.05


   5910. C4H3 + TC4H9OH  => C4H4 + RTC4H8OH 
         k:       3.681000e+05	    2.00       7661.72


   5911. C6H5 + TC4H9OH  => C6H6 + RTC4H8OH 
         k:       3.330000e+08	    1.00       3864.72


   5912. C5H5 + TC4H9OH  => C5H6 + RTC4H8OH 
         k:       3.060000e+05	    2.00      17080.28


   5913. O + TC4H9OH  => OH + RTC4H8OH 
         k:       2.115000e+07	    2.00       4691.70


   5914. O2 + TC4H9OH  => HO2 + RTC4H8OH 
         k:       1.530000e+07	    2.00      48272.65


   5915. OH + TC4H9OH  => H2O + RTC4H8OH 
         k:       1.350000e+10	    1.00       1540.75


   5916. HO2 + TC4H9OH  => H2O2 + RTC4H8OH 
         k:       7.200000e+06	    2.00      19190.53


   5917. CH3O + TC4H9OH  => CH3OH + RTC4H8OH 
         k:       3.852000e+05	    2.00       3572.50


   5918. CH2OH + TC4H9OH  => CH3OH + RTC4H8OH 
         k:       2.547000e+05	    2.00      13045.84


   5919. HCO + TC4H9OH  => CH2O + RTC4H8OH 
         k:       1.134000e+06	    2.00      15279.95


   5920. CH3CO + TC4H9OH  => CH3CHO + RTC4H8OH 
         k:       1.215000e+06	    2.00      17080.28


   5921. CH2CHO + TC4H9OH  => CH3CHO + RTC4H8OH 
         k:       2.070000e+05	    2.00      14430.30


   5922. C3H3 + TC4H9OH  => C3H4-A + RTC4H8OH 
         k:       2.430000e+05	    2.00      17080.28


   5923. HCCO + TC4H9OH  => CH2CO + RTC4H8OH 
         k:       3.852000e+05	    2.00       7661.72


   5924. CH3O2 + TC4H9OH  => CH3O2H + RTC4H8OH 
         k:       6.840000e+05	    2.00      15598.15


   5925. C2H5O2 + TC4H9OH  => C2H5O2H + RTC4H8OH 
         k:       6.840000e+05	    2.00      15598.15


   5926. NC3H7O2 + TC4H9OH  => C3H7OOH + RTC4H8OH 
         k:       6.840000e+05	    2.00      15598.15


   5927. IC3H7O2 + TC4H9OH  => C3H7OOH + RTC4H8OH 
         k:       6.840000e+05	    2.00      15598.15


   5928. HCO3 + TC4H9OH  => HCO3H + RTC4H8OH 
         k:       3.060000e+05	    2.00       9072.89


   5929. CH3CO3 + TC4H9OH  => CH3CO3H + RTC4H8OH 
         k:       3.060000e+05	    2.00       9072.89


   5930. CH3COCH2 + TC4H9OH  => CH3COCH3 + RTC4H8OH 
         k:       2.070000e+05	    2.00      10690.26


   5931. TC4H9OH + C6H5O  => RTC4H8OH + C6H5OH 
         k:       4.860000e+05	    2.00      15492.11


   5932. TC4H9OH + C6H4OH  => RTC4H8OH + C6H5OH 
         k:       3.330000e+08	    1.00       3864.72


   5933. TC4H9OH + C5H7  => RTC4H8OH + LC5H8 
         k:       2.430000e+05	    2.00      18136.38


   5934. TC4H9OH + C7H7  => RTC4H8OH + C7H8 
         k:       1.215000e+05	    2.00      19190.53


   5935. TC4H9OH + CH3C6H4  => RTC4H8OH + C7H8 
         k:       3.330000e+08	    1.00       3864.72


   5936. TC4H9OH + RCRESOLO  => RTC4H8OH + CRESOL 
         k:       2.430000e+05	    2.00      15810.16


   5937. TC4H9OH + C10H7  => C10H8 + RTC4H8OH 
         k:       3.330000e+08	    1.00       3864.72


   5938. TC4H9OH + C6H5C2H4  => RTC4H8OH + C6H5C2H5 
         k:       2.250000e+05	    2.00      15492.11


   5939. TC4H9OH + C6H5CHCH3  => RTC4H8OH + C6H5C2H5 
         k:       1.620000e+05	    2.00      19190.53


   5940. TC4H9OH + INDENYL  => RTC4H8OH + INDENE 
         k:       1.170000e+05	    2.00      19190.53


   5941. TC4H9OH + C10H6CH3  => RTC4H8OH + C10H7CH3 
         k:       3.330000e+08	    1.00       3864.72


   5942. TC4H9OH + C6H4O  => RTC4H8OH + C6H5O 
         k:       2.430000e+05	    2.00      15492.11


   5943. TC4H9OH + RCATEC  => RTC4H8OH + CATECHOL 
         k:       1.800000e+05	    2.00      13898.40


   5944. TC4H9OH + RC7H5O3  => RTC4H8OH + C7H6O3 
         k:       1.800000e+05	    2.00      15492.11


   5945. TC4H9OH + RSALICPH  => RTC4H8OH + SALICALD 
         k:       3.600000e+08	    1.00       3864.72


   5946. TC4H9OH + RGUAIPH  => RTC4H8OH + GUAIACOL 
         k:       3.600000e+08	    1.00       3864.72


   5947. TC4H9OH + RCATEPH  => RTC4H8OH + CATECHOL 
         k:       3.600000e+08	    1.00       3864.72


   5948. IC4H9OH  = CH3 + CH3CHCH2OH 
         k:       6.000000e+16	    0.00      88000.00


   5949. IC4H9OH  = CH2OH + IC3H7 
         k:       2.000000e+16	    0.00      85000.00


   5950. IC4H9OH  = OH + IC4H9 
         k:       1.500000e+16	    0.00      93200.00


   5951. H + CH3CHCH3CHOH  = IC4H9OH 
         k:       5.000000e+13	    0.00          0.00


   5952. H + CH3CCH2OHCH3  = IC4H9OH 
         k:       5.000000e+13	    0.00          0.00


   5953. H + CH2CHCH2OHCH3  = IC4H9OH 
         k:       5.000000e+13	    0.00          0.00


   5954. IC4H9OH  = H2O + IC4H8 
         k:       5.000000e+13	    0.00      65600.00


   5955. IC4H9OH  = H2 + IC3H7CHO 
         k:       5.000000e+13	    0.00      69500.00


   5956. HO2 + IC4H9OH  = H2O2 + CH3CHCH3CHOH 
         k:       4.800000e+06	    2.00      16000.00


   5957. CH3CHCH3CHOH  = CH3 + C2H5CHO 
         k:       3.000000e+13	    0.00      32500.00


   5958. CH3CHCH3CHOH  = H + IC3H7CHO 
         k:       3.000000e+13	    0.00      37000.00


   5959. CH3CCH2OHCH3  = OH + IC4H8 
         k:       3.000000e+13	    0.00      33000.00


   5960. CH3CCH2OHCH3  = H + IC3H7CHO 
         k:       3.000000e+13	    0.00      37000.00


   5961. CH3CCH2OHCH3  = H + IC4H7OH 
         k:       3.000000e+13	    0.00      37000.00


   5962. CH2OH + C3H6  = CH2CHCH2OHCH3 
         k:       8.800000e+03	    2.48       6130.00


   5963. CH3 + C3H5OH  = CH2CHCH2OHCH3 
         k:       1.900000e+03	    2.67       6850.00


   5964. H + IC4H7OH  = CH2CHCH2OHCH3 
         k:       4.240000e+11	    0.51       1230.00


   5965. HO2 + IC4H7OH  = HO2 + IC3H7CHO 
         k:       1.500000e+05	    1.67       6810.00


   5966. HCOOH + IC4H7OH  = HCOOH + IC3H7CHO 
         k:       2.800000e-02	    3.29      -4509.00


   5967. O2 + CH3CHCH3CHOH  = HO2 + IC3H7CHO 
         k:       2.000000e+12	    0.00       3500.00


   5968. O2 + CH3CCH2OHCH3  => HO2 + 0.67NC4H7OH + 0.33IC3H7CHO 
         k:       2.000000e+12	    0.00       3500.00


   5969. O2 + CH2CHCH2OHCH3  = HO2 + IC4H7OH 
         k:       2.000000e+12	    0.00       3500.00


   5970. H + IC4H9OH  => H2 + CH3CHCH3CHOH 
         k:       9.000000e+06	    2.00       4000.00


   5971. CH3 + IC4H9OH  => CH4 + CH3CHCH3CHOH 
         k:       9.000000e+04	    2.00       5000.00


   5972. C2H3 + IC4H9OH  => C2H4 + CH3CHCH3CHOH 
         k:       2.034000e+05	    2.00       3900.00


   5973. C2H5 + IC4H9OH  => C2H6 + CH3CHCH3CHOH 
         k:       6.000000e+04	    2.00       6700.00


   5974. NC3H7 + IC4H9OH  => C3H8 + CH3CHCH3CHOH 
         k:       4.050000e+04	    2.00       6700.00


   5975. IC3H7 + IC4H9OH  => C3H8 + CH3CHCH3CHOH 
         k:       4.050000e+04	    2.00       9900.00


   5976. C3H5-S + IC4H9OH  => C3H6 + CH3CHCH3CHOH 
         k:       8.100000e+04	    2.00       4500.00


   5977. C3H5-T + IC4H9OH  => C3H6 + CH3CHCH3CHOH 
         k:       8.100000e+04	    2.00       4500.00


   5978. C3H5-A + IC4H9OH  => C3H6 + CH3CHCH3CHOH 
         k:       1.617000e+05	    2.00      12800.00


   5979. C4H5 + IC4H9OH  => C4H6 + CH3CHCH3CHOH 
         k:       8.100000e+04	    2.00       4500.00


   5980. C4H71-4 + IC4H9OH  => C4H8-1 + CH3CHCH3CHOH 
         k:       4.050000e+04	    2.00       6600.00


   5981. C4H71-3 + IC4H9OH  => C4H8-2 + CH3CHCH3CHOH 
         k:       1.020000e+05	    2.00      13700.00


   5982. IC4H7 + IC4H9OH  => IC4H8 + CH3CHCH3CHOH 
         k:       8.100000e+04	    2.00      13700.00


   5983. C4H3 + IC4H9OH  => C4H4 + CH3CHCH3CHOH 
         k:       1.227000e+05	    2.00       5200.00


   5984. C6H5 + IC4H9OH  => C6H6 + CH3CHCH3CHOH 
         k:       1.110000e+08	    1.00       2000.00


   5985. C5H5 + IC4H9OH  => C5H6 + CH3CHCH3CHOH 
         k:       1.020000e+05	    2.00      14000.00


   5986. O + IC4H9OH  => OH + CH3CHCH3CHOH 
         k:       7.050000e+06	    2.00       2500.00


