-----------------------------------------------------------------------------------------------------------------------------------------------------
Name                              MW       Cp@298K        H@298K        G@298K        S@298K      Cp@1000K       H@1000K       G@1000K       S@1000K 
                           [kg/kmol]   [cal/mol/K]    [kcal/mol]    [kcal/mol]   [cal/mol/K]   [cal/mol/K]    [kcal/mol]    [kcal/mol]   [cal/mol/K] 
-----------------------------------------------------------------------------------------------------------------------------------------------------
     1800.0000     62.5323       23.5583       -262.1061     158.7024      74.7690       -187.1648     
     2000.0000     63.8894       36.2056       -294.5220     165.3638      87.4163       -219.5807     
     2200.0000     64.9662       49.0954       -328.2170     171.5056      100.3061      -253.2757     
     2400.0000     65.8161       62.1770       -363.0942     177.1963      113.3877      -288.1529     
     2600.0000     66.4842       75.4098       -399.0692     182.4919      126.6204      -324.1279     
 -----------------------------------------------------------------------------------------------------


 ====================================================================================================
   THERMO TABLE FOR MOLECULE RIBALDB
 ====================================================================================================
   Elemental Composition:
     C 4.0000
     H 7.0000
     O 1.0000
   Formation Enthalpy at 298K =          4.1002 kcal/mol
   Formation Free Gibbs Energy at 298K = -18.8118 kcal/mol
   Molecular Weight =                    71.0990 kg/kmol
 -----------------------------------------------------------------------------------------------------
   Temperature       Cp             H             G            S             DH            DG         
       [K]       [cal/mol/K]    [kcal/mol]    [kcal/mol]  [cal/(mol-K)]  [kcal/mol]     [kcal/mol]    
 -----------------------------------------------------------------------------------------------------
     300.0000      21.7723       4.1436        -18.9657      77.0312       0.0434        -0.1539       
     600.0000      36.4257       13.0665       -45.1707      97.0620       8.9663        -26.3589      
     800.0000      42.9803       21.0355       -65.7482      108.4795      16.9352       -46.9364      
     1000.0000     48.2587       30.1747       -88.4798      118.6544      26.0745       -69.6680      
     1200.0000     52.7851       40.2899       -113.1457     127.8630      36.1897       -94.3339      
     1400.0000     56.6806       51.2467       -139.5737     136.3003      47.1465       -120.7619     
     1600.0000     59.9787       62.9223       -167.6228     144.0907      58.8221       -148.8110     
     1800.0000     62.7192       75.2010       -197.1725     151.3186      71.1008       -178.3607     
     2000.0000     64.9483       87.9759       -228.1169     158.0464      83.8756       -209.3051     
     2200.0000     66.7191       101.1498      -260.3610     164.3231      97.0495       -241.5492     
     2400.0000     68.0913       114.6369      -293.8188     170.1899      110.5367      -275.0070     
     2600.0000     69.1313       128.3641      -328.4121     175.6832      124.2639      -309.6003     
 -----------------------------------------------------------------------------------------------------


 ====================================================================================================
   THERMO TABLE FOR MOLECULE RIBALDG
 ====================================================================================================
   Elemental Composition:
     C 4.0000
     H 7.0000
     O 1.0000
   Formation Enthalpy at 298K =          -1.9641 kcal/mol
   Formation Free Gibbs Energy at 298K = -26.7063 kcal/mol
   Molecular Weight =                    71.0990 kg/kmol
 -----------------------------------------------------------------------------------------------------
   Temperature       Cp             H             G            S             DH            DG         
       [K]       [cal/mol/K]    [kcal/mol]    [kcal/mol]  [cal/(mol-K)]  [kcal/mol]     [kcal/mol]    
 -----------------------------------------------------------------------------------------------------
     300.0000      22.0458       -1.9202       -26.8725      83.1744       0.0440        -0.1662       
     600.0000      36.9325       7.1593        -54.9754      103.5577      9.1234        -28.2691      
     800.0000      43.1488       15.1974       -76.8643      115.0771      17.1616       -50.1580      
     1000.0000     48.1050       24.3365       -100.9167     125.2532      26.3006       -74.2104      
     1200.0000     52.4046       34.3970       -126.8980     134.4125      36.3611       -100.1918     
     1400.0000     56.1420       45.2609       -154.6290     142.7785      47.2250       -127.9227     
     1600.0000     59.3398       56.8178       -183.9659     150.4898      58.7819       -157.2596     
     1800.0000     62.0281       68.9628       -214.7875     157.6391      70.9269       -188.0812     
     2000.0000     64.2440       81.5975       -246.9886     164.2930      83.5617       -220.2823     
     2200.0000     66.0321       94.6319       -280.4752     170.5032      96.5960       -253.7689     
     2400.0000     67.4440       107.9853      -315.1631     176.3118      109.9494      -288.4568     
     2600.0000     68.5389       121.5883      -350.9756     181.7553      123.5524      -324.2693     
 -----------------------------------------------------------------------------------------------------


 ====================================================================================================
   THERMO TABLE FOR MOLECULE N1C4H9OH
 ====================================================================================================
   Elemental Composition:
     C 4.0000
     H 10.0000
     O 1.0000
   Formation Enthalpy at 298K =          -66.1382 kcal/mol
   Formation Free Gibbs Energy at 298K = -91.9551 kcal/mol
   Molecular Weight =                    74.1230 kg/kmol
 -----------------------------------------------------------------------------------------------------
   Temperature       Cp             H             G            S             DH            DG         
       [K]       [cal/mol/K]    [kcal/mol]    [kcal/mol]  [cal/(mol-K)]  [kcal/mol]     [kcal/mol]    
 -----------------------------------------------------------------------------------------------------
     300.0000      26.4434       -66.0855      -92.1286      86.8103       0.0527        -0.1734       
     600.0000      44.4504       -55.2554      -121.9230     111.1127      10.8829       -29.9678      
     800.0000      52.6837       -45.5002      -145.5705     125.0879      20.6381       -53.6153      
     1000.0000     58.7406       -34.3267      -171.8559     137.5292      31.8115       -79.9008      
     1200.0000     63.2101       -22.1095      -200.4944     148.6541      44.0287       -108.5393     
     1400.0000     66.5644       -9.1168       -231.2431     158.6617      57.0215       -139.2880     
     1600.0000     69.1589       4.4659        -263.8963     167.7264      70.6041       -171.9412     
     1800.0000     71.2322       18.5123       -298.2807     175.9961      84.6505       -206.3256     
     2000.0000     72.9106       32.9326       -334.2499     183.5912      99.0708       -242.2947     
     2200.0000     74.2591       47.6546       -371.6786     190.6060      113.7928      -279.7234     
     2400.0000     75.3327       62.6179       -410.4586     197.1152      128.7561      -318.5034     
     2600.0000     76.1805       77.7726       -450.4951     203.1799      143.9108      -358.5399     
 -----------------------------------------------------------------------------------------------------


 ====================================================================================================
   THERMO TABLE FOR MOLECULE CH3CH2CHCH2OH
 ====================================================================================================
   Elemental Composition:
     C 4.0000
     H 9.0000
     O 1.0000
   Formation Enthalpy at 298K =          -18.8346 kcal/mol
   Formation Free Gibbs Energy at 298K = -45.6629 kcal/mol
   Molecular Weight =                    73.1150 kg/kmol
 -----------------------------------------------------------------------------------------------------
   Temperature       Cp             H             G            S             DH            DG         
       [K]       [cal/mol/K]    [kcal/mol]    [kcal/mol]  [cal/(mol-K)]  [kcal/mol]     [kcal/mol]    
 -----------------------------------------------------------------------------------------------------
     300.0000      26.5353       -18.7817      -45.8431      90.2048       0.0529        -0.1802       
     600.0000      41.9003       -8.3622       -76.5608      113.6644      10.4725       -30.8979      
     800.0000      49.1436       0.7760        -100.6311     126.7589      19.6107       -54.9682      
     1000.0000     54.6031       11.1765       -127.1638     138.3403      30.0112       -81.5009      
     1200.0000     58.7174       22.5278       -155.8844     148.6768      41.3624       -110.2215     
     1400.0000     61.8452       34.5979       -186.5653     157.9737      53.4325       -140.9024     
     1600.0000     64.2658       47.2189       -219.0156     166.3966      66.0535       -173.3528     
     1800.0000     66.1783       60.2705       -253.0747     174.0807      79.1051       -207.4118     
     2000.0000     67.7052       73.6646       -288.6060     181.1353      92.4992       -242.9431     
     2200.0000     68.9234       87.3320       -325.4927     187.6476      106.1667      -279.8298     
     2400.0000     69.8953       101.2175      -363.6336     193.6880      120.0522      -317.9707     
     2600.0000     70.6721       115.2772      -402.9403     199.3144      134.1118      -357.2774     
 -----------------------------------------------------------------------------------------------------


 ====================================================================================================
   THERMO TABLE FOR MOLECULE CH2CH2CH2CH2OH
 ====================================================================================================
   Elemental Composition:
     C 4.0000
     H 9.0000
     O 1.0000
   Formation Enthalpy at 298K =          -17.0843 kcal/mol
   Formation Free Gibbs Energy at 298K = -44.3001 kcal/mol
   Molecular Weight =                    73.1150 kg/kmol
 -----------------------------------------------------------------------------------------------------
   Temperature       Cp             H             G            S             DH            DG         
       [K]       [cal/mol/K]    [kcal/mol]    [kcal/mol]  [cal/(mol-K)]  [kcal/mol]     [kcal/mol]    
 -----------------------------------------------------------------------------------------------------
     300.0000      25.3265       -17.0338      -44.4830      91.4973       0.0505        -0.1828       
     600.0000      41.8431       -6.7765       -75.4979      114.5358      10.3078       -31.1978      
     800.0000      49.3626       2.3827        -99.7441      127.6585      19.4670       -55.4440      
     1000.0000     54.8776       12.8352       -126.4625     139.2977      29.9195       -82.1624      
     1200.0000     58.9387       24.2370       -155.3795     149.6805      41.3213       -111.0794     
     1400.0000     61.9854       36.3433       -186.2642     159.0054      53.4276       -141.9641     
     1600.0000     64.3456       48.9857       -218.9226     167.4426      66.0700       -174.6224     
     1800.0000     66.2361       62.0505       -253.1917     175.1345      79.1347       -208.8915     
     2000.0000     67.7676       75.4563       -288.9343     182.1953      92.5406       -244.6342     
     2200.0000     68.9967       89.1373       -326.0337     188.7141      106.2216      -281.7336     
     2400.0000     69.9723       103.0381      -364.3886     194.7611      120.1224      -320.0884     
     2600.0000     70.7391       117.1123      -403.9105     200.3934      134.1966      -359.6104     
 -----------------------------------------------------------------------------------------------------


 ====================================================================================================
   THERMO TABLE FOR MOLECULE CH3CH2CH2CH2O
 ====================================================================================================
   Elemental Composition:
     C 4.0000
     H 9.0000
     O 1.0000
   Formation Enthalpy at 298K =          -13.3428 kcal/mol
   Formation Free Gibbs Energy at 298K = -38.6429 kcal/mol
   Molecular Weight =                    73.1150 kg/kmol
 -----------------------------------------------------------------------------------------------------
   Temperature       Cp             H             G            S             DH            DG         
       [K]       [cal/mol/K]    [kcal/mol]    [kcal/mol]  [cal/(mol-K)]  [kcal/mol]     [kcal/mol]    
 -----------------------------------------------------------------------------------------------------
     300.0000      26.5668       -13.2898      -38.8129      85.0770       0.0530        -0.1700       
     600.0000      42.9263       -2.6970       -68.0352      108.8970      10.6458       -29.3923      
     800.0000      50.5413       6.6869        -91.1870      122.3425      20.0297       -52.5441      
     1000.0000     56.1911       17.3887       -116.8704     134.2591      30.7315       -78.2275      
     1200.0000     60.3549       29.0645       -144.8051     144.8914      42.4073       -106.1622     
     1400.0000     63.4293       41.4582       -174.7547     154.4378      54.8010       -136.1118     
     1600.0000     65.7277       54.3847       -206.5190     163.0648      67.7274       -167.8761     
     1800.0000     67.4810       67.7131       -239.9287     170.9121      81.0559       -201.2858     
     2000.0000     68.8398       81.3509       -274.8396     178.0953      94.6937       -236.1967     
     2200.0000     69.9031       95.2294       -311.1288     184.7083      108.5722      -272.4859     
     2400.0000     70.7473       109.2976      -348.6901     190.8282      122.6403      -310.0472     
     2600.0000     71.4288       123.5175      -387.4315     196.5188      136.8603      -348.7886     
 -----------------------------------------------------------------------------------------------------


 ====================================================================================================
   THERMO TABLE FOR MOLECULE CH3CH2CH2CHOH
 ====================================================================================================
   Elemental Composition:
     C 4.0000
     H 9.0000
     O 1.0000
   Formation Enthalpy at 298K =          -23.1597 kcal/mol
   Formation Free Gibbs Energy at 298K = -49.1371 kcal/mol
   Molecular Weight =                    73.1150 kg/kmol
 -----------------------------------------------------------------------------------------------------
   Temperature       Cp             H             G            S             DH            DG         
       [K]       [cal/mol/K]    [kcal/mol]    [kcal/mol]  [cal/(mol-K)]  [kcal/mol]     [kcal/mol]    
 -----------------------------------------------------------------------------------------------------
     300.0000      26.1590       -23.1075      -49.3116      87.3472       0.0522        -0.1745       
     600.0000      42.3836       -12.6481      -79.1666      110.8642      10.5116       -30.0295      
     800.0000      49.7779       -3.3940       -102.6935     124.1243      19.7656       -53.5564      
     1000.0000     55.2005       7.1319        -128.7139     135.8458      30.2915       -79.5768      
     1200.0000     59.1879       18.5907       -156.9461     146.2807      41.7504       -107.8091     
     1400.0000     62.1704       30.7403       -187.1545     155.6391      53.8999       -138.0174     
     1600.0000     64.4717       43.4137       -219.1418     164.0972      66.5733       -170.0047     
     1800.0000     66.3090       56.4982       -252.7432     171.8008      79.6579       -203.6061     
     2000.0000     67.7974       69.9142       -287.8197     178.8669      93.0738       -238.6826     
     2200.0000     68.9958       83.5979       -324.2536     185.3870      106.7576      -275.1165     
     2400.0000     69.9533       97.4964       -361.9430     191.4331      120.6561      -312.8059     
     2600.0000     70.7134       111.5661      -400.7991     197.0635      134.7257      -351.6620     
 -----------------------------------------------------------------------------------------------------


 ====================================================================================================
   THERMO TABLE FOR MOLECULE CH3CHCH2CH2OH
 ====================================================================================================
   Elemental Composition:
     C 4.0000
     H 9.0000
     O 1.0000
   Formation Enthalpy at 298K =          -20.1846 kcal/mol
   Formation Free Gibbs Energy at 298K = -47.2644 kcal/mol
   Molecular Weight =                    73.1150 kg/kmol
 -----------------------------------------------------------------------------------------------------
   Temperature       Cp             H             G            S             DH            DG         
       [K]       [cal/mol/K]    [kcal/mol]    [kcal/mol]  [cal/(mol-K)]  [kcal/mol]     [kcal/mol]    
 -----------------------------------------------------------------------------------------------------
     300.0000      24.4293       -20.1359      -47.4463      91.0346       0.0487        -0.1819       
     600.0000      40.8451       -10.1723      -78.2115      113.3986      10.0123       -30.9471      
     800.0000      48.4511       -1.2054       -102.2008     126.2443      18.9792       -54.9364      
     1000.0000     54.0980       9.0777        -128.6161     137.6938      29.2623       -81.3518      
     1200.0000     58.2899       20.3370       -157.1986     147.9463      40.5216       -109.9342     
     1400.0000     61.4367       32.3242       -187.7268     157.1792      52.5088       -140.4624     
     1600.0000     63.8544       44.8633       -220.0127     165.5475      65.0479       -172.7483     
     1800.0000     65.7652       57.8324       -253.8969     173.1830      78.0170       -206.6326     
     2000.0000     67.3004       71.1445       -289.2443     180.1944      91.3291       -241.9799     
     2200.0000     68.5380       84.7327       -325.9389     186.6689      104.9173      -278.6746     
     2400.0000     69.5395       98.5440       -363.8808     192.6770      118.7286      -316.6164     
     2600.0000     70.3535       112.5360      -402.9825     198.2764      132.7207      -355.7182     
 -----------------------------------------------------------------------------------------------------


 ====================================================================================================
   THERMO TABLE FOR MOLECULE N2C4H9OH
 ====================================================================================================
   Elemental Composition:
     C 4.0000
     H 10.0000
     O 1.0000
   Formation Enthalpy at 298K =          -70.0310 kcal/mol
   Formation Free Gibbs Energy at 298K = -94.9775 kcal/mol
   Molecular Weight =                    74.1230 kg/kmol
 -----------------------------------------------------------------------------------------------------
   Temperature       Cp             H             G            S             DH            DG         
       [K]       [cal/mol/K]    [kcal/mol]    [kcal/mol]  [cal/(mol-K)]  [kcal/mol]     [kcal/mol]    
 -----------------------------------------------------------------------------------------------------
     300.0000      27.0669       -69.9770      -95.1451      83.8937       0.0540        -0.1676       
     600.0000      44.8298       -59.0020      -124.1263     108.5406      11.0290       -29.1489      
     800.0000      52.9949       -49.1786      -147.2701     122.6144      20.8524       -52.2926      
     1000.0000     59.0180       -37.9466      -173.0677     135.1211      32.0844       -78.0902      
     1200.0000     63.4621       -25.6764      -201.2297     146.2944      44.3546       -106.2522     
     1400.0000     66.7814       -12.6365      -231.5102     156.3384      57.3945       -136.5328     
     1600.0000     69.3217       0.9845        -263.7015     165.4288      71.0154       -168.7240     
     1800.0000     71.3197       15.0563       -297.6281     173.7135      85.0872       -202.6506     
     2000.0000     72.9081       29.4852       -333.1413     181.3133      99.5162       -238.1638     
     2200.0000     74.1609       44.1971       -370.1141     188.3233      114.2281      -275.1366     
     2400.0000     75.1403       59.1313       -408.4364     194.8199      129.1623      -313.4590     
     2600.0000     75.9007       74.2387       -448.0121     200.8657      144.2697      -353.0346     
 -----------------------------------------------------------------------------------------------------


 ====================================================================================================
   THERMO TABLE FOR MOLECULE CH2CH2CHOHCH3
 ====================================================================================================
   Elemental Composition:
     C 4.0000
     H 9.0000
     O 1.0000
   Formation Enthalpy at 298K =          -21.0295 kcal/mol
   Formation Free Gibbs Energy at 298K = -47.4069 kcal/mol
   Molecular Weight =                    73.1150 kg/kmol
 -----------------------------------------------------------------------------------------------------
   Temperature       Cp             H             G            S             DH            DG         
       [K]       [cal/mol/K]    [kcal/mol]    [kcal/mol]  [cal/(mol-K)]  [kcal/mol]     [kcal/mol]    
 -----------------------------------------------------------------------------------------------------
     300.0000      26.2979       -20.9770      -47.5841      88.6901       0.0525        -0.1772       
     600.0000      42.4435       -10.4912      -77.8541      112.2717      10.5384       -30.4473      
     800.0000      49.8387       -1.2255       -101.6643     125.5485      19.8040       -54.2574      
     1000.0000     55.2774       9.3141        -127.9710     137.2852      30.3436       -80.5642      
     1200.0000     59.2786       20.7899       -156.4927     147.7355      41.8194       -109.0858     
     1400.0000     62.2606       32.9578       -186.9934     157.1081      53.9873       -139.5866     
     1600.0000     64.5403       45.6475       -219.2757     165.5770      66.6770       -171.8688     
     1800.0000     66.3339       58.7418       -253.1737     173.2864      79.7713       -205.7668     
     2000.0000     67.7603       72.1567       -288.5474     180.3521      93.1862       -241.1405     
     2200.0000     68.8847       85.8258       -325.2777     186.8652      106.8553      -277.8708     
     2400.0000     69.7620       99.6941       -363.2615     192.8982      120.7236      -315.8547     
     2600.0000     70.4408       113.7174      -402.4089     198.5101      134.7469      -355.0021     
 -----------------------------------------------------------------------------------------------------


 ====================================================================================================
   THERMO TABLE FOR MOLECULE CH3CH2CHOHCH2
 ====================================================================================================
   Elemental Composition:
     C 4.0000
     H 9.0000
     O 1.0000
   Formation Enthalpy at 298K =          -21.0295 kcal/mol
   Formation Free Gibbs Energy at 298K = -47.4069 kcal/mol
   Molecular Weight =                    73.1150 kg/kmol
 -----------------------------------------------------------------------------------------------------
   Temperature       Cp             H             G            S             DH            DG         
       [K]       [cal/mol/K]    [kcal/mol]    [kcal/mol]  [cal/(mol-K)]  [kcal/mol]     [kcal/mol]    
 -----------------------------------------------------------------------------------------------------
     300.0000      26.2979       -20.9770      -47.5841      88.6901       0.0525        -0.1772       
     600.0000      42.4435       -10.4912      -77.8541      112.2717      10.5384       -30.4473      
     800.0000      49.8387       -1.2255       -101.6643     125.5485      19.8040       -54.2574      
     1000.0000     55.2774       9.3141        -127.9710     137.2852      30.3436       -80.5642      
     1200.0000     59.2786       20.7899       -156.4927     147.7355      41.8194       -109.0858     
     1400.0000     62.2606       32.9578       -186.9934     157.1081      53.9873       -139.5866     
     1600.0000     64.5403       45.6475       -219.2757     165.5770      66.6770       -171.8688     
     1800.0000     66.3339       58.7418       -253.1737     173.2864      79.7713       -205.7668     
     2000.0000     67.7603       72.1567       -288.5474     180.3521      93.1862       -241.1405     
     2200.0000     68.8847       85.8258       -325.2777     186.8652      106.8553      -277.8708     
     2400.0000     69.7620       99.6941       -363.2615     192.8982      120.7236      -315.8547     
     2600.0000     70.4408       113.7174      -402.4089     198.5101      134.7469      -355.0021     
 -----------------------------------------------------------------------------------------------------


 ====================================================================================================
   THERMO TABLE FOR MOLECULE CH3CHCHOHCH3
 ====================================================================================================
   Elemental Composition:
     C 4.0000
     H 9.0000
     O 1.0000
   Formation Enthalpy at 298K =          -23.6972 kcal/mol
   Formation Free Gibbs Energy at 298K = -49.9618 kcal/mol
   Molecular Weight =                    73.1150 kg/kmol
 -----------------------------------------------------------------------------------------------------
   Temperature       Cp             H             G            S             DH            DG         
       [K]       [cal/mol/K]    [kcal/mol]    [kcal/mol]  [cal/(mol-K)]  [kcal/mol]     [kcal/mol]    
 -----------------------------------------------------------------------------------------------------
     300.0000      25.4282       -23.6465      -50.1382      88.3057       0.0507        -0.1764       
     600.0000      41.5442       -13.4325      -80.1887      111.2602      10.2647       -30.2269      
     800.0000      49.0256       -4.3389       -103.7701     124.2889      19.3583       -53.8083      
     1000.0000     54.5816       6.0496        -129.8069     135.8565      29.7468       -79.8452      
     1200.0000     58.6982       17.3979       -158.0305     146.1904      41.0952       -108.0687     
     1400.0000     61.7727       29.4596       -188.2136     155.4808      53.1568       -138.2518     
     1600.0000     64.1128       42.0583       -220.1641     163.8889      65.7555       -170.2023     
     1800.0000     65.9372       55.0705       -253.7194     171.5499      78.7677       -203.7576     
     2000.0000     67.3785       68.4077       -288.7417     178.5747      92.1050       -238.7799     
     2200.0000     68.5179       82.0018       -325.1128     185.0521      105.6990      -275.1511     
     2400.0000     69.4207       95.7991       -362.7308     191.0542      119.4964      -312.7691     
     2600.0000     70.1388       109.7578      -401.5068     196.6402      133.4550      -351.5450     
 -----------------------------------------------------------------------------------------------------


 ====================================================================================================
   THERMO TABLE FOR MOLECULE CH3CH2COHCH3
 ====================================================================================================
   Elemental Composition:
     C 4.0000
     H 9.0000
     O 1.0000
   Formation Enthalpy at 298K =          -26.9629 kcal/mol
   Formation Free Gibbs Energy at 298K = -52.1424 kcal/mol
   Molecular Weight =                    73.1150 kg/kmol
 -----------------------------------------------------------------------------------------------------
   Temperature       Cp             H             G            S             DH            DG         
       [K]       [cal/mol/K]    [kcal/mol]    [kcal/mol]  [cal/(mol-K)]  [kcal/mol]     [kcal/mol]    
 -----------------------------------------------------------------------------------------------------
     300.0000      27.3751       -26.9082      -52.3115      84.6777       0.0546        -0.1692       
     600.0000      43.2271       -16.1352      -81.4958      108.9343      10.8276       -29.3534      
     800.0000      50.3531       -6.7402       -104.6595     122.3991      20.2227       -52.5171      
     1000.0000     55.5851       3.8801        -130.3466     134.2266      30.8429       -78.2042      
     1200.0000     59.4845       15.4054       -158.2615     144.7224      42.3683       -106.1191     
     1400.0000     62.4563       27.6124       -188.1628     154.1251      54.5752       -136.0204     
     1600.0000     64.7525       40.3431       -219.8512     162.6214      67.3060       -167.7088     
     1800.0000     66.5233       53.4784       -253.1605     170.3550      80.4413       -201.0182     
     2000.0000     67.8891       66.9255       -287.9498     177.4377      93.8884       -235.8075     
     2200.0000     68.9499       80.6138       -324.0983     183.9600      107.5766      -271.9559     
     2400.0000     69.7854       94.4905       -361.5015     189.9967      121.4533      -309.3591     
     2600.0000     70.4553       108.5169      -400.0687     195.6099      135.4798      -347.9264     
 -----------------------------------------------------------------------------------------------------


 ====================================================================================================
   THERMO TABLE FOR MOLECULE TC4H9OH
 ====================================================================================================
   Elemental Composition:
     C 4.0000
     H 10.0000
     O 1.0000
   Formation Enthalpy at 298K =          -74.4935 kcal/mol
   Formation Free Gibbs Energy at 298K = -97.6405 kcal/mol
   Molecular Weight =                    74.1230 kg/kmol
 -----------------------------------------------------------------------------------------------------
   Temperature       Cp             H             G            S             DH            DG         
       [K]       [cal/mol/K]    [kcal/mol]    [kcal/mol]  [cal/(mol-K)]  [kcal/mol]     [kcal/mol]    
 -----------------------------------------------------------------------------------------------------
     300.0000      27.2366       -74.4392      -97.7960      77.8561       0.0543        -0.1555       
     600.0000      45.2868       -63.3474      -125.0042     102.7615      11.1462       -27.3637      
     800.0000      53.3248       -53.4436      -147.0050     116.9517      21.0500       -49.3644      
     1000.0000     59.2013       -42.1611      -171.6765     129.5154      32.3324       -74.0360      
     1200.0000     63.5862       -29.8621      -198.7203     140.7152      44.6315       -101.0797     
     1400.0000     66.9559       -16.7939      -227.8871     150.7808      57.6996       -130.2465     
     1600.0000     69.5969       -3.1280       -258.9697     159.9011      71.3656       -161.3291     
     1800.0000     71.6666       11.0068       -291.7943     168.2229      85.5004       -194.1538     
     2000.0000     73.2876       25.5088       -326.2133     175.8610      100.0023      -228.5728     
     2200.0000     74.5632       40.2989       -362.0994     182.9083      114.7924      -264.4589     
     2400.0000     75.5769       55.3167       -399.3423     189.4413      129.8102      -301.7018     
     2600.0000     76.3929       70.5165       -437.8459     195.5240      145.0101      -340.2054     
 -----------------------------------------------------------------------------------------------------


 ====================================================================================================
   THERMO TABLE FOR MOLECULE RTC4H8OH
 ====================================================================================================
   Elemental Composition:
     C 4.0000
     H 9.0000
     O 1.0000
   Formation Enthalpy at 298K =          -25.4970 kcal/mol
   Formation Free Gibbs Energy at 298K = -50.7202 kcal/mol
   Molecular Weight =                    73.1150 kg/kmol
 -----------------------------------------------------------------------------------------------------
   Temperature       Cp             H             G            S             DH            DG         
       [K]       [cal/mol/K]    [kcal/mol]    [kcal/mol]  [cal/(mol-K)]  [kcal/mol]     [kcal/mol]    
 -----------------------------------------------------------------------------------------------------
     300.0000      26.4575       -25.4442      -50.8896      84.8180       0.0528        -0.1695       
     600.0000      42.9059       -14.8400      -80.0365      108.6607      10.6570       -29.3163      
     800.0000      50.1627       -5.4941       -103.1373     122.0540      20.0029       -52.4171      
     1000.0000     55.4538       5.0945        -128.7514     133.8459      30.5915       -78.0312      
     1200.0000     59.4104       16.5989       -156.5881     144.3225      42.0959       -105.8679     
     1400.0000     62.4621       28.7987       -186.4085     153.7195      54.2957       -135.6884     
     1600.0000     64.8482       41.5396       -218.0164     162.2225      67.0366       -167.2962     
     1800.0000     66.7096       54.7031       -251.2474     169.9725      80.2001       -200.5272     
     2000.0000     68.1627       68.1963       -285.9625     177.0794      93.6933       -235.2423     
     2200.0000     69.3047       81.9475       -322.0422     183.6317      107.4445      -271.3220     
     2400.0000     70.2138       95.9027       -359.3831     189.7024      121.3997      -308.6629     
     2600.0000     70.9485       110.0214      -397.8952     195.3525      135.5184      -347.1750     
 -----------------------------------------------------------------------------------------------------


 ====================================================================================================
   THERMO TABLE FOR MOLECULE IC4H9OH
 ====================================================================================================
   Elemental Composition:
     C 4.0000
     H 10.0000
     O 1.0000
   Formation Enthalpy at 298K =          -67.9050 kcal/mol
   Formation Free Gibbs Energy at 298K = -92.6447 kcal/mol
   Molecular Weight =                    74.1230 kg/kmol
 -----------------------------------------------------------------------------------------------------
   Temperature       Cp             H             G            S             DH            DG         
       [K]       [cal/mol/K]    [kcal/mol]    [kcal/mol]  [cal/(mol-K)]  [kcal/mol]     [kcal/mol]    
 -----------------------------------------------------------------------------------------------------
     300.0000      26.2168       -67.8527      -92.8109      83.1941       0.0523        -0.1662       
     600.0000      44.2303       -57.0914      -121.4937     107.3372      10.8135       -28.8490      
     800.0000      52.4996       -47.3769      -144.3798     121.2536      20.5280       -51.7351      
     1000.0000     58.6040       -36.2357      -169.8944     133.6588      31.6693       -77.2497      
     1200.0000     63.1236       -24.0407      -197.7566     144.7632      43.8642       -105.1119     
     1400.0000     66.5239       -11.0606      -227.7260     154.7610      56.8444       -135.0813     
     1600.0000     69.1559       2.5178        -259.5987     163.8228      70.4228       -166.9540     
     1800.0000     71.2562       16.5665       -293.2025     172.0939      84.4715       -200.5578     
     2000.0000     72.9514       30.9934       -328.3915     179.6925      98.8984       -235.7468     
     2200.0000     74.3081       45.7246       -365.0409     186.7116      113.6295      -272.3962     
     2400.0000     75.3831       60.6979       -403.0424     193.2252      128.6029      -310.3977     
     2600.0000     76.2273       75.8624       -442.3013     199.2937      143.7674      -349.6566     
 -----------------------------------------------------------------------------------------------------


 ====================================================================================================
   THERMO TABLE FOR MOLECULE CH3CHCH3CHOH
 ====================================================================================================
   Elemental Composition:
     C 4.0000
     H 9.0000
     O 1.0000
   Formation Enthalpy at 298K =          -24.8372 kcal/mol
   Formation Free Gibbs Energy at 298K = -49.8100 kcal/mol
   Molecular Weight =                    73.1150 kg/kmol
 -----------------------------------------------------------------------------------------------------
   Temperature       Cp             H             G            S             DH            DG         
       [K]       [cal/mol/K]    [kcal/mol]    [kcal/mol]  [cal/(mol-K)]  [kcal/mol]     [kcal/mol]    
 -----------------------------------------------------------------------------------------------------
     300.0000      26.5384       -24.7843      -49.9778      83.9785       0.0529        -0.1678       
     600.0000      42.6483       -14.2197      -78.8656      107.7433      10.6175       -29.0556      
     800.0000      49.8800       -4.9292       -101.7747     121.0569      19.9080       -51.9647      
     1000.0000     55.1934       5.6048        -127.1830     132.7878      30.4420       -77.3730      
     1200.0000     59.1679       17.0593       -154.8033     143.2188      41.8965       -104.9933     
     1400.0000     62.2218       29.2110       -184.3992     152.5787      54.0482       -134.5892     
     1600.0000     64.6133       41.9041       -215.7756     161.0498      66.7413       -165.9656     
     1800.0000     66.4879       55.0219       -248.7694     168.7729      79.8591       -198.9594     
     2000.0000     67.9581       68.4724       -283.2423     175.8573      93.3096       -233.4322     
     2200.0000     69.1181       82.1845       -319.0756     182.3910      107.0217      -269.2656     
     2400.0000     70.0440       96.1041       -356.1668     188.4462      120.9413      -306.3568     
     2600.0000     70.7932       110.1903      -394.4263     194.0833      135.0275      -344.6162     
 -----------------------------------------------------------------------------------------------------


 ====================================================================================================
