-----------------------------------------------------------------------------------------------------------------------------------------------------
Name                              MW       Cp@298K        H@298K        G@298K        S@298K      Cp@1000K       H@1000K       G@1000K       S@1000K 
                           [kg/kmol]   [cal/mol/K]    [kcal/mol]    [kcal/mol]   [cal/mol/K]   [cal/mol/K]    [kcal/mol]    [kcal/mol]   [cal/mol/K] 
-----------------------------------------------------------------------------------------------------------------------------------------------------
C5H5                         65.0950       20.3610       62.4942       43.5775       63.4787       41.2601       85.4096      -15.0881      100.4977
MCPTD                        80.1300       22.4862       26.8069        4.6829       74.2417       56.6785       57.0768      -65.1965      122.2733
C10H8                       128.1740       32.4138       35.9924       12.0382       80.3831       78.9158       78.8731      -69.7879      148.6610
NC3H7O2                      75.0870       23.7177       -9.4558      -34.5465       84.1968       47.8036       17.0574     -109.9213      126.9787
IC3H7O2                      75.0870       24.1976      -13.8333      -38.3251       82.1873       48.2197       13.1459     -112.6441      125.7900
C3H7OOH                      76.0950       22.9006      -43.4363      -69.5999       87.7973       50.2520      -15.9591     -147.8058      131.8467
C3-OQOOH                     90.0780       26.7195      -67.6290      -94.6397       90.6399       51.0394      -38.4397     -176.4510      138.0113
CHOCH2CHO                    72.0630       18.8747      -77.9239     -100.2506       74.9216       37.4004      -56.6061     -166.0356      109.4295
CH2OHCH2CHO                  74.0790       22.3622      -80.3079     -105.1480       83.3559       43.4075      -56.0209     -178.6908      122.6698
CH3CO2H                      60.0520       14.9369     -103.3365     -123.5109       67.6996       33.1423      -85.2136     -181.9374       96.7238
HCO3                         61.0160       13.3701      -26.0506      -45.8882       66.5691       21.6649      -13.0737     -101.0091       87.9354
HCO3H                        62.0240       15.1706      -67.4028      -89.4109       73.8526       25.5761      -52.2875     -150.9310       98.6435
CH2OHCOCH3                   74.0790       23.0827      -85.5865     -109.7635       81.1309       45.3455      -60.0109     -182.5346      122.5237
NC3-QOOH                     75.0870       24.0363        0.7716      -26.1928       90.4847       48.3156       27.7142     -106.2639      133.9781
IC3-QOOH                     75.0870       25.3651       -0.9345      -26.7401       86.5961       49.5548       27.2656     -105.0206      132.2861
